Symbol,Name,Country,IPO Year,Volume,Sector,Industry
ACLS,Axcelis Technologies Inc. Common Stock,United States,2000,558573,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,United States,2022,480079,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,AECOM Common Stock,United States,2007,827559,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,United States,2017,1054265,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,2337766,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,United States,,15737,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,United States,,47973,Industrials,Steel/Iron Ore
ACOG,Alpha Cognition Inc. Common Stock,Canada,,78479,,
ACON,Aclarion Inc. Common Stock,United States,2022,22175,Health Care,Medical Specialities
ACONW,Aclarion Inc. Warrant,United States,2022,100,Health Care,Medical Specialities
ACP,abrdn Income Credit Strategies Fund Common Shares,United States,2011,496366,Finance,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,United States,,1949,,
ACR,ACRES Commercial Realty Corp. Common Stock,United States,,48764,Real Estate,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,United States,,2485,,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,United States,,693,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,2012,362374,Real Estate,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,2015,1687981,Health Care,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,United States,2022,562234,Health Care,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,United States,2021,354034,Finance,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,United States,,90262,Miscellaneous,Multi-Sector Companies
ACTU,Actuate Therapeutics Inc. Common stock,United States,2024,63307,Health Care,Biotechnology: Pharmaceutical Preparations
ACU,Acme United Corporation. Common Stock,United States,1988,10008,Consumer Discretionary,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,2015,31405,Finance,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,United States,2025,1206060,Consumer Discretionary,Business Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,United States,2021,148946,Health Care,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,China,2021,160312,Health Care,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,United Kingdom,2015,371043,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,United States,1986,1842389,Technology,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,United States,,784017,Real Estate,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,United States,,7053,,
ADCT,ADC Therapeutics SA Common Shares,Switzerland,2020,803837,Health Care,Biotechnology: Pharmaceutical Preparations
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,United States,,196866,Consumer Discretionary,Engineering & Construction
ADEA,Adeia Inc. Common Stock,United States,2003,652198,Technology,Computer Software: Prepackaged Software
ADGM,Adagio Medical Holdings Inc Common Stock,United States,,31767,Health Care,Medical/Dental Instruments
ADI,Analog Devices Inc. Common Stock,United States,,4199243,Technology,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,United States,2018,44955,Health Care,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,United States,,3223411,Consumer Staples,Packaged Foods
ADMA,ADMA Biologics Inc Common Stock,United States,,1457336,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,Advent Technologies Holdings Inc. Class A Common Stock,United States,2018,7478,Miscellaneous,Industrial Machinery/Components
ADNT,Adient plc Ordinary Shares ,United States,2016,1112871,Consumer Discretionary,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,United States,2018,210318,Miscellaneous,Industrial Machinery/Components
ADP,Automatic Data Processing Inc. Common Stock,United States,,1229917,Technology,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,United States,2019,1402472,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Ireland,,257711,Consumer Discretionary,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,Ireland,,114507,Consumer Discretionary,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,United States,,1031214,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,United States,2018,34006020,Consumer Discretionary,Diversified Commercial Services
ADTN,ADTRAN Holdings Inc. Common Stock,United States,1994,459202,Utilities,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,United States,2020,181875,Health Care,Biotechnology: Pharmaceutical Preparations
ADUR,Aduro Clean Technologies Inc. Common Stock,Canada,,389729,,
ADUS,Addus HomeCare Corporation Common Stock,United States,2009,78486,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,United States,2019,711939,Consumer Discretionary,Business Services
ADVB,Advanced Biomed Inc. Common Stock,Taiwan,2025,83408,Health Care,Medical Specialities
ADVM,Adverum Biotechnologies Inc. Common Stock,United States,2014,115449,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,United States,2019,2283,Consumer Discretionary,Business Services
ADX,Adams Diversified Equity Fund Inc.,United States,,195346,Finance,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,Switzerland,,814,Health Care,Biotechnology: Pharmaceutical Preparations
AEE,Ameren Corporation Common Stock,United States,,2089188,Utilities,Power Generation
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,United States,,123178,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,United States,2019,39325,,
AEG,Aegon Ltd. New York Registry Shares,Netherlands,,11736831,Finance,Life Insurance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,China,,368570,Industrials,Building Materials
AEHR,Aehr Test Systems Common Stock,United States,1997,1905243,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),United States,2020,20345,Finance,Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,United States,1995,186168,Technology,Industrial Machinery/Components
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,2254725,Basic Materials,Precious Metals
AEMD,Aethlon Medical Inc. Common Stock,United States,,99061,Health Care,Medical/Dental Instruments
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,United States,,58098,Consumer Discretionary,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrants,United States,,173458,Consumer Discretionary,Durable Goods
AEO,American Eagle Outfitters Inc. Common Stock,United States,,5976283,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,AEON Biopharma Inc. Class A Common Stock,United States,,800385,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,American Electric Power Company Inc. Common Stock,United States,,1950415,Utilities,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,2006,1236987,Consumer Discretionary,Diversified Commercial Services
AERT,Aeries Technology Inc. Class A Ordinary Share,United States,2021,11231,Consumer Discretionary,Professional Services
AERTW,Aeries Technology Inc. Warrant,United States,2021,11,Consumer Discretionary,Professional Services
AES,The AES Corporation Common Stock,United States,,9996873,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,United States,2023,3344919,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEVA,Aeva Technologies Inc. Common Stock,United States,,1800653,Consumer Discretionary,Auto Parts:O.E.M.
AEVAW,Aeva Technologies Inc. Warrants,United States,,146244,Consumer Discretionary,Auto Parts:O.E.M.
AEYE,AudioEye Inc. Common Stock,United States,,58667,Technology,Computer Software: Prepackaged Software
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,2002,49356,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),United States,2017,2271,Finance,Banks
AFCG,Advanced Flower Capital Inc. Common Stock,United States,2021,120470,Finance,Real Estate
AFG,American Financial Group Inc. Common Stock,United States,,515836,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,United States,2019,8331,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,United States,2019,11517,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,United States,2020,12260,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,United States,2020,4140,Finance,Property-Casualty Insurers
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,United States,2024,5,,
AFL,AFLAC Incorporated Common Stock,United States,,1568903,Finance,Accident &Health Insurance
AFRI,Forafric Global PLC Ordinary Shares,Gibraltar,,17557,Consumer Staples,Packaged Foods
AFRIW,Forafric Global PLC Warrants,Gibraltar,,2895,Consumer Staples,Packaged Foods
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,4396892,Finance,Finance: Consumer Services
AFYA,Afya Limited Class A Common Shares,Brazil,2019,97568,Real Estate,Other Consumer Services
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,,36248252,Basic Materials,Precious Metals
AGAE,Allied Gaming & Entertainment Inc. Common Stock,United States,2017,126494,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGCO,AGCO Corporation Common Stock,United States,,762008,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,United States,2006,104872,Finance,Trusts Except Educational Religious and Charitable
AGEN,Agenus Inc. Common Stock,United States,2000,3832645,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGFY,Agrify Corporation Common Stock,United States,2021,17189,Consumer Staples,Farming/Seeds/Milling
AGH,Aureus Greenway Holdings Inc. Common Stock,United States,2025,236579,Consumer Discretionary,Hotels/Resorts
AGI,Alamos Gold Inc. Class A Common Shares,Canada,2015,3031426,Basic Materials,Precious Metals
AGIO,Agios Pharmaceuticals Inc. Common Stock,United States,2013,649232,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,United States,2021,4694981,Health Care,Misc Health and Biotechnology Services
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,,367100,Finance,Finance Companies
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,United States,,15815,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,United States,,6019,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,United States,,17622,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,United States,,29860,,
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Hong Kong,2018,4639803,Technology,EDP Services
AGNC,AGNC Investment Corp. Common Stock,United States,2008,22683136,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,United States,,1847,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,3907,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,United States,,9437,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,United States,,10572,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,United States,,32452,Real Estate,Real Estate Investment Trusts
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,2004,263845,Finance,Property-Casualty Insurers
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Canada,2021,47686,Industrials,Metal Fabrications
AGRO,Adecoagro S.A. Common Shares,Luxembourg,2011,516427,Consumer Staples,Farming/Seeds/Milling
AGS,PlayAGS Inc. Common Stock,United States,2018,1017492,Consumer Discretionary,Miscellaneous manufacturing industries
AGX,Argan Inc. Common Stock,United States,,543707,Consumer Discretionary,Engineering & Construction
AGYS,Agilysys Inc. Common Stock (DE),United States,,304281,Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,United States,2018,688230,Health Care,Medical/Nursing Services
AHG,Akso Health Group ADS,China,2017,7852,Consumer Discretionary,Business Services
AHH,Armada Hoffler Properties Inc. Common Stock,United States,2013,980424,Finance,Real Estate
AHH^A,Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,United States,,4541,,
AHL,Aspen Insurance Holdings Limited Class A Ordinary Shares,Bermuda,2025,162341,Finance,Property-Casualty Insurers
AHL^D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,11680,,
AHL^E,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares,Bermuda,,8033,,
AHL^F,Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th Interest in a 7.00% Perpetual Non-Cumulative Preference Share,Bermuda,,8366,,
AHR,American Healthcare REIT Inc. Common Stock,United States,2024,1582028,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,United States,2003,38514,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,United States,,2512,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,United States,,422,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,United States,,9,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,United States,,108,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,United States,,702,,
AI,C3.ai Inc. Class A Common Stock,United States,2020,6911629,Technology,Computer Software: Prepackaged Software
AIFE,Aifeex Nexus Acquisition Corporation Class A Ordinary Shares,United States,2025,93,,
AIFER,Aifeex Nexus Acquisition Corporation Right,United States,2025,70,,
AIFEU,Aifeex Nexus Acquisition Corporation Unit,United States,2024,132,,
AIFF,Firefly Neuroscience Inc. Common Stock,United States,,165757,Technology,Computer Software: Prepackaged Software
AIFU,AIFU Inc. Class A Ordinary Share,China,2007,123005,Finance,Specialty Insurers
AIG,American International Group Inc. New Common Stock,United States,,3686791,Finance,Life Insurance
AIHS,Senmiao Technology Limited Common Stock,China,2018,3777,Finance,Finance: Consumer Services
AII,American Integrity Insurance Group Inc. Common Stock,,2025,107581,Finance,Property-Casualty Insurers
AIMD,Ainos Inc. Common Stock,United States,,75192,Health Care,Biotechnology: Pharmaceutical Preparations
AIMDW,Ainos Inc. Warrants,United States,,562,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,United States,,165875,Consumer Discretionary,Textiles
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,,2019,89931,Finance,Finance/Investors Services
AIOT,PowerFleet Inc. Common Stock,United States,,1520933,Telecommunications,Telecommunications Equipment
AIP,Arteris Inc. Common Stock,United States,2021,178602,Technology,Semiconductors
AIR,AAR Corp. Common Stock,United States,,218681,Industrials,Aerospace
AIRE,reAlpha Tech Corp. Common Stock,United States,,326496,Finance,Real Estate
AIRG,Airgain Inc. Common Stock,United States,2016,6343,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,United States,,10416,Industrials,Military/Government/Technical
AIRJ,AirJoule Technologies Corporation Class A Common Stock,United States,2022,61366,Industrials,Industrial Machinery/Components
AIRJW,AirJoule Technologies Corporation Warrant,United States,2022,757,Industrials,Industrial Machinery/Components
AIRS,AirSculpt Technologies Inc. Common Stock,United States,2021,234492,Health Care,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,United States,,84,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,United States,,279,Consumer Discretionary,Air Freight/Delivery Services
AISP,Airship AI Holdings Inc. Class A Common Stock,United States,2021,717574,Technology,Computer Software: Prepackaged Software
AISPW,Airship AI Holdings Inc. Warrants,United States,2021,7052,Technology,Computer Software: Prepackaged Software
AIT,Applied Industrial Technologies Inc. Common Stock,United States,,202895,Consumer Discretionary,Industrial Specialties
AIV,Apartment Investment and Management Company Common Stock,United States,1994,1002824,Real Estate,Real Estate Investment Trusts
AIXI,XIAO-I Corporation American Depositary Shares,China,2023,120341,Technology,Computer Software: Prepackaged Software
AIZ,Assurant Inc. Common Stock,United States,2004,592435,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,United States,2020,8588,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,United States,,1300168,Finance,Specialty Insurers
AKA,a.k.a. Brands Holding Corp. Common Stock,,2021,790,Consumer Discretionary,Catalog/Specialty Distribution
AKAM,Akamai Technologies Inc. Common Stock,United States,1999,1779409,Consumer Discretionary,Business Services
AKAN,Akanda Corp. Common Shares,United Kingdom,2022,98732,Health Care, Medicinal Chemicals and Botanical Products 
AKBA,Akebia Therapeutics Inc. Common Stock,United States,2014,12184211,Health Care,Biotechnology: Pharmaceutical Preparations
AKO/A,Embotelladora Andina S.A.,Chile,,1165,,
AKO/B,Embotelladora Andina S.A.,Chile,,8430,,
AKR,Acadia Realty Trust Common Stock,United States,,629404,Real Estate,Real Estate Investment Trusts
AKRO,Akero Therapeutics Inc. Common Stock,United States,2019,1255659,Health Care,Biotechnology: Pharmaceutical Preparations
AKTX,Akari Therapeutics plc ADS,United Kingdom,,22916,Health Care,Biotechnology: Pharmaceutical Preparations
AKYA,Akoya BioSciences Inc. Common Stock,United States,2021,119552,Industrials,Biotechnology: Laboratory Analytical Instruments
AL,Air Lease Corporation Class A Common Stock,United States,2011,859984,Consumer Discretionary,Diversified Commercial Services
ALAB,Astera Labs Inc. Common Stock,United States,2024,3549750,Technology,Semiconductors
ALAR,Alarum Technologies Ltd. American Depositary Share,Israel,2018,135797,Technology,Computer Software: Prepackaged Software
ALB,Albemarle Corporation Common Stock,United States,,4073333,Industrials,Major Chemicals
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,United States,,17254,,
ALBT,Avalon GloboCare Corp. Common Stock,United States,,16494,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALC,Alcon Inc. Ordinary Shares,Switzerland,2019,1033072,Health Care,Ophthalmic Goods
ALCO,Alico Inc. Common Stock,United States,,33450,,
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,United States,2023,62,Finance,Blank Checks
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,United States,2023,38,Finance,Blank Checks
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,United States,2024,206358,,
ALDFU,Aldel Financial II Inc. Units,United States,2024,5,Finance,Blank Checks
ALDFW,Aldel Financial II Inc. Warrants,United States,2024,1008,,
ALDX,Aldeyra Therapeutics Inc. Common Stock,United States,2014,697536,Health Care,Biotechnology: Pharmaceutical Preparations
ALE,Allete Inc.,United States,,547990,Utilities,Power Generation
ALEC,Alector Inc. Common Stock,United States,2019,656880,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,United States,,376352,Real Estate,Real Estate Investment Trusts
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,United States,2024,152017,,
ALFUW,Centurion Acquisition Corp. Warrant,United States,2024,516,Finance,Blank Checks
ALG,Alamo Group Inc. Common Stock,United States,,109232,Industrials,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,United States,2020,2086018,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,United States,2001,434847,Health Care,Industrial Specialties
